user,text,created_at
11ribu_T,"@KompasTV Dia sendiri enggak sadar sdng mengadu domba antara pendukung ganjar dng pendukung Anies.
😂😂😂",2022-11-30 01:28:39+00:00
SamiajiBonnar,"RT @Midjan_La_2: Sampai sini aku sudah faham 😊

Kode Pak Dhe untuk duet  Capres 2024😎

Ganjar Pranowo 😍😎 https://t.co/VCqZFfd1vt",2022-11-30 01:28:33+00:00
semangalitow,"RT @ChusnulCh__: Tanpa DP, tanpa angsuran, tanpa bermasalah di KPK, dan tanpa kata2 manies menipu demi menang Pilkada.

Bahagianya Warga Ja…",2022-11-30 01:28:26+00:00
detikfinance,Perhimpunan Ahli Pertambangan Indonesia (Perhapi) buka suara mengenai keberadaan beking pada tambang ilegal. https://t.co/nwALzMf0Ev,2022-11-30 01:28:12+00:00
Raaj_889,RT @giginpraginanto: Baru meghadapi mafia level Klaten aja gak berkutik apalagi yang di pusat kekuasaan. Jangan-jangan malah jadi antek. ht…,2022-11-30 01:27:40+00:00
Ichan_Pitoeng,"RT @NetizenZulid: Tiba tiba suara BuzzeRp hilang ga bersuara ketika ganjar mainkan politik identitas

mana yg selalu ribut bawa agama dan a…",2022-11-30 01:27:35+00:00
wahananewsdotco,Gubernur Jateng Ganjar Pranowo Klarifikasi Soal Rambut Hitamnya https://t.co/OVVV7jbF19 #GanjarPranowo… https://t.co/UhP88iej13,2022-11-30 01:27:33+00:00
Tata_3998,Duet antara Gubernur Jawa Tengah Ganjar Pranowo dan Menteri BUMN Erick Thohir diharapkan jadi penerus kerja Jokowi-… https://t.co/nYoDBVlLNZ,2022-11-30 01:27:24+00:00
s_ghiffary,"RT @HelmiFelis_: Sorry tapi yang begini gak pantes untuk jadi BaCaPres

Bahkan untuk bakal calon saja sudah tidak pantas, sorry to say

Kit…",2022-11-30 01:26:45+00:00
RahmanjabirJ,"RT @ArdhaniFariz: Meski GANJAR Rambut PUTIH tapi
Gak bise kasih Solusi &amp; Gak Pro Rakyat
Walaupun ANIES Rambut HITAM tapi
Selalu Pro Rakyat…",2022-11-30 01:26:35+00:00
ganesa4gp,"Ganjar, Prabowo, Anies, dan Puan, dan pemilih tahu ke4 calon tersebut, 
Ganjar  45,5 %
Anies 24,6 %
Prabowo 21,4 %… https://t.co/tSsIibRK8Q",2022-11-30 01:26:25+00:00
deltaekonenci,"RT @Y07d1_40s1H: DI DEPAN PRABOWO DIA BILANG 2024 JATAH Y PRABOWO..

DI DEPAN GANJAR DIA BILANG PILIHLAH PEMIMPIN YANG RAMBUT Y PUTIH..

DI…",2022-11-30 01:26:25+00:00
psikopathati,"RT @HelmiFelis_: Mereka gak bisa baca bahwa sesungguhnya jokowi menghancurkan Ganjar dari dalam

Ini perang antar mereka, kita nonton aja

.",2022-11-30 01:26:23+00:00
harris_priatama,RT @giginpraginanto: Baru meghadapi mafia level Klaten aja gak berkutik apalagi yang di pusat kekuasaan. Jangan-jangan malah jadi antek. ht…,2022-11-30 01:26:03+00:00
Marbot_Udien,"RT @AirinAirin_NZ: DiFitnah✅
DiCaci Maki✅
Di Gembosi✅
Apakah @ganjarpranowo membalasnya? TIDAK..
Ganjar hanya bisa diam &amp; Terus bekerja.

D…",2022-11-30 01:26:02+00:00
